前5个词,中心词,后五个词
contre audace douter double constat,réforme,présenter élisabeth born contester rue
financier conscience menace condition acceptabilité,réforme,chef gouvernement chercher non minimiser
détermination face difficulté signature opposant,réforme,prévenir partisan rassurer prouver déterminé
contestation trop brutal explosion raison,réforme,covid raison réforme ici commencer
explosion raison réforme covid raison,réforme,ici commencer inconnu force syndical
maussade ostensiblement insurrectionnel peser acteur,réforme,retraite donner acte élisabeth born
élisabeth born citer fois présentation,réforme,reprendre presque condition point positif
éric ciotti évoquer rythme atténuer,réforme,rapport projet initial revalorisation petit
nupe prêt mener combat contre,réforme,meeting unitaire ailleurs lieu mardi
» « la ministre prétendre,réforme,retraite projet justice social accélérer
penser sincèremer bon pays proposer,réforme,retraite vue décaler âge départ
volonté voir rn illustrer opposer,réforme,combat parti flamme autant concentrer
syndicat parti gauche croire français,réforme,inutile contraire indispensable fois impératif
fois impératif économique nécessité démographique,réforme,faillite résumer lapidaire gabriel attal
système répartition définition financièremer équilibre,réforme,exigence social france pays europe
représenter gâchis compétence économiste conviennent,réforme,retraite essentiel affirmer christian saint-étienn
élier cohen jour bfmtv juger,réforme,absolument indispensable expliquer régime structurellement
état cotis retraite fonctionnaire hauteur,réforme,retraite point important recommandation récurrent
récurrent commission européen france ailleurs,réforme,venir intégrer pacte stabilité transmettre
vis-à-vis partenaire européen capacité engager,réforme,nécessaire revenir objectif déficit inférieur
objectif déficit inférieur pib ici,réforme,signal fort donner partenaire européen
alixio triangle infernal obligation économique,réforme,impératif démographique non génération baby
achat retraité baissé continuer diminuer,réforme,niveau vie retraité rapporter population
président république semer trouble indiquer,réforme,retraite servir financer chantier école
mère,réforme,bataille lancer présenter mardi réforme
réforme bataille lancer présenter mardi,réforme,retraite promettre emmanuel macron campagne
chantier probablement périlleux mener passé,réforme,similaire provoquer important mouvement social
maire prévoir investir politiquemer porter,réforme,stanisla guerini ministre fonction public
opinion écrasant majorité français hostile,réforme,enquête publier dernier mois concertation
long pénibilité bruno maire affirmer,réforme,apporter milliard euro caisse retraite
gauche plaider élisabeth born référence,réforme,socialiste marisol touraine sarkozyste éric
question revalorisation pension retraité actuel,réforme,présenter élisabeth born prévoit relèvement
déficit marine pen promettre barrage,réforme,injuste confrontation idée désinformation agiter
français exécutif imposer récit finalité,réforme,clair euro servir financer retraite
lancer bataille distance présentation,réforme,retraite élisabeth born mardi emmanuel
époque chef état dé battre,réforme,retraite ensuite côté irruption crise
forcémer venir président prendre perte,réforme,retraite campagne présidentiel assurer ministre
ligne chorégraphie bien orchestrer présentation,réforme,élisabeth born renouer rôle ordinaire
born mouture exécutif démultiplier promotion,réforme,relèvement an âge légal départ
concrètement changer ministre consigne projet,réforme,retraite projet éclair brutal antisocial
ratp jean castex expliquer accompagner,réforme,secteur mobilisation important côté parti
agir aujourd'hui sauver retraite demain,réforme,améliorable voix entendre mercredi exprimer
majorité françois bayrou juger lci,réforme,améliorable entrer discussion parlementaire ardu
surveiller position retrait apparent manoeuvre,réforme,présentation projet mardi procéder dernier
