Index,Texte précédent,Mot,Texte suivant
1,"y croyait ? Quelques discussions ont permis de poser les bases d' un accord avec Les Républicains , étrangement vaccinés",contre,"l' audace ; mais qui en doutait ? Partant de ce double constat , il est certain que la réforme"
2,". Après ces annonces , la coalition de la Nupes s’ est dite prête à mener « le combat »",contre,la réforme . Un tout premier meeting unitaire avait d’ ailleurs lieu mardi soir à Paris . « Madame Borne
3,"» , a salué Élisabeth Borne . Alors que les organisations syndicales et les partis de gauche sont vent debout",contre,"le décalage de l' âge légal de départ à la retraite , la chef du gouvernement a évoqué « un"
4,montrent effectivement un peu plus favorables que les actifs à l' allongement de la durée de cotisation ( 29 %,contre,24 % ) et au recul de l' âge de départ en retraite ( 24 % contre 20 % )
5,( 29 % contre 24 % ) et au recul de l' âge de départ en retraite ( 24 %,contre,"20 % ) , mais les uns et les autres s' opposent massivement à une diminution des pensions servies ("
6,actifs . Si leur niveau de vie médian est légèrement supérieur à celui des actifs ( 1900 euros par mois,contre,"1840 euros en 2020 ; source DREES ) , c' est parce qu' ils ont plus rarement des enfants à"
7,en réalité ? « C' est la faute à l' Europe . » Depuis le début de la contestation sociale,contre,"la réforme des retraites , le rôle de l' Union européenne est parfois pointé du doigt par ses opposants ."
8,"occupations de président , servi par un agenda qui lui permet de jouer le décalage . Pour la première manifestation",contre,"la réforme des retraites , il est à Barcelone pour signer un traité d' amitié avec l' Espagne . Pour"
9,. Et est -ce qu' elle doit rentrer en vigueur dès l' été 2023 ? Oui . » Détermination politique,contre,"détermination syndicale , la figure est classique en entrée de conflit social . Mais dans cette chorégraphie bien orchestrée ,"
10,", la contestation promet d' être forte à l' hôpital , où les syndicats ont appelé à la mobilisation jeudi",contre,"la réforme des retraites . Le relèvement de l' âge de départ à 64 ans inquiète les agents hospitaliers ,"
11,"que cette baisse est donc liée à la fécondité . Son indice s’ établit désormais à 1,80 enfant par femme",contre,"1,84 en 2021 . Il s’ élevait à près de 2 enfants par femmes il y a dix ans ,"
12,Combien de personnes dans les rues ? Combien de grévistes ? À la veille de la première journée de mobilisation,contre,"la réforme des retraites , Emmanuel Macron ne veut pas jouer les baromètres . Au choc de la rue ,"
13,Les urnes,contre,"la rue , la rue contre les urnes . Confrontation classique chaque fois qu' il s' agit de faire passer"
14,"Les urnes contre la rue , la rue",contre,les urnes . Confrontation classique chaque fois qu' il s' agit de faire passer une réforme difficile ou impopulaire .
15,dans une situation comparable à celle de Jacques Chirac en 2003 . Un président réélu - dans les deux cas,contre,un représentant de la famille Le Pen - faisant voter une réforme des retraites environ un an après sa réélection
16,Emmanuel Macron a bien dû se rendre à l' évidence : les syndicats ont remporté le pari de la mobilisation,contre,la réforme des retraites . Avec plus de 2 millions de manifestants revendiqués par la CGT et plus de 1
17,"dis , avec beaucoup de calme » . Il n' empêche , au terme de la première journée de manifestation",contre,"la réforme des retraites , et malgré les heurts qui ont émaillé le cortège , les syndicats en ressortent renforcés"
18,"En 1995 , quand la grève",contre,"la réforme des retraites avait paralysé la France , internet était balbutiant . En 2019 , lorsque les syndicats s'"
19,"paralysé la France , internet était balbutiant . En 2019 , lorsque les syndicats s' étaient de nouveau mobilisés -",contre,"la retraite à points - , seuls 3 % des salariés télétravaillaient au moins un jour par semaine , selon"
20,"au travail sur la durée de la vie . Ne serait -ce qu' entre 1995 , date des grandes grèves",contre,"la réforme des retraites de Juppé , et 2022 , l' espérance de vie est passée de 81,9 ans à"
21,"malgré l' effort demandé , les choses , de ce point de vue , se sont améliorées . Pourquoi lutter",contre,une tendance globalement positive ? On peut s' interroger - outre l' opportunisme syndical - sur les ressorts profonds de
22,n' est -elle pas parvenue à embarquer sur les plateaux de télévision des représentants de la jeunesse pour s' élever,contre,"une réforme qui vise pourtant à préparer - si peu , mais quand même - le monde qui leur parvient"
23,Alors que les syndicats affichent leur cohésion,contre,"la réforme du gouvernement , la gauche se divise . Sur un char du syndicat SUD Solidaires , une enfant"
24,"À la retraite depuis le 1er janvier seulement , elle est « incapable de dire si(elle ) est pour ou",contre,"» : « Allez vous y retrouver quand vous n' êtes qu' un simple citoyen ! , lance -t -elle"
25,"le projet de réforme des retraites chemine vers le Parlement , syndicats et partis d' opposition ont mobilisé leurs troupes",contre,le texte dont la mesure principale et symbolique est le passage de 62 à 64 ans du départ légal à
26,et de la « justice » d' un tel report . Les sondages montrent en effet une opposition très nette,contre,le projet . L' hostilité à son égard n' est plus le seul apanage des adversaires du chef de l'
27,", a mis en garde la première ministre , qui « espère » encore « un débat lisible , projet",contre,"projet » . D’ ici le début du rendez-vous parlementaire , le gouvernement aura à affronter une deuxième journée de"
28,PAS seulement un texte qui arrive ce lundi sur la table en Conseil des ministres . C' est un texte,contre,"lequel ont défilé entre un et deux millions de Français , aux côtés des oppositions et des syndicats . «"
29,"député Richard Ramos a appelé jeudi , sur Sud Radio , à « ne pas faire » cette réforme «",contre,"les Français » et à « reprendre » le système à points , prévu dans le projet de 2019 abandonné"
